ADR name,Scikit-Learn Mean AUC,Tensorflow Mean AUC,Positive Count
Atonic_urinary_bladder,0.999363867684,0.998096440562,4.0
Facial_nerve_disorder,0.999363867684,0.998096440562,4.0
Deafness_bilateral,0.996178294461,0.931895620983,6.0
Breast_cancer_stage_IV,0.995236263896,0.794854584506,3.0
Gastritis_erosive,0.995236263896,0.79008359214,3.0
Urethral_obstruction,0.995236263896,0.791991989087,3.0
Proctitis_ulcerative,0.995236263896,0.793900386033,3.0
Kaposi's_sarcoma_AIDS_related,0.995236263896,0.79580878298,3.0
Hypolipidaemia,0.995236263896,0.793900386033,3.0
Kaposi's_sarcoma,0.995236263896,0.79008359214,3.0
Gastrointestinal_necrosis,0.989342437044,0.995632756983,10.0
Peripheral_arterial_occlusive_disease,0.988549618321,0.952290076336,3.0
Atrioventricular_dissociation,0.9851112416,0.837225158218,6.0
Toxoplasmosis,0.984732824427,0.828880407125,5.0
Vocal_cord_paralysis,0.983822903363,0.931460195828,5.0
Enlarged_clitoris,0.982819441697,0.934385754536,5.0
Androgenetic_alopecia,0.979667953444,0.912864385298,4.0
Polyserositis,0.977099236641,0.381679389313,3.0
Osteonecrosis_of_jaw,0.972328244275,0.974236641221,4.0
Infectious_mononucleosis,0.970839501156,0.86564788746,3.0
Malnutrition,0.96575528014,0.878056095744,3.0
Blood_pressure_systolic_decreased,0.961851411101,0.767204597568,3.0
Vocal_cord_paresis,0.961832061069,0.956106870229,5.0
Intestinal_ischaemia,0.961365564037,0.835838715991,6.0
Soft_tissue_necrosis,0.958015267176,0.871183206107,4.0
Blunted_affect,0.953244274809,0.934160305344,3.0
Gastrointestinal_neoplasm,0.946608423069,0.80034636558,4.0
Large_intestinal_obstruction,0.94179389313,0.547709923664,3.0
Phlebosclerosis,0.936796177323,0.802043422733,4.0
Ureteric_obstruction,0.935877243333,0.870925034253,13.0
Hepatic_neoplasm,0.932251908397,0.576335877863,4.0
Gastrointestinal_toxicity,0.929397542041,0.881115105253,10.0
Nephrocalcinosis,0.925207287222,0.842810011707,3.0
Electrocardiogram_PR_prolongation,0.92277992278,0.940154440154,6.0
Acute_lymphocytic_leukaemia,0.919852165752,0.798350893488,4.0
Plantar_erythema,0.915781118488,0.909058264196,6.0
Parkinsonism,0.913189958896,0.706459189665,9.0
Floppy_iris_syndrome,0.907591937027,0.723764015753,4.0
Polymyalgia_rheumatica,0.901155413655,0.815692340692,12.0
Palmar-plantar_erythrodysaesthesia_syndrome,0.899097181445,0.798421902525,6.0
Pericarditis_constrictive,0.898557455084,0.714437059182,3.0
Metabolic_alkalosis,0.898518421398,0.807484618485,4.0
Atrial_tachycardia,0.89829556143,0.865488955555,9.0
Cardioactive_drug_level,0.898254576415,0.912303107705,6.0
Bladder_irritation,0.897786993541,0.733356576629,5.0
Recall_phenomenon,0.897456283814,0.896732022524,20.0
Panniculitis,0.897231977864,0.405238053774,3.0
Balanoposthitis,0.893169580039,0.751704477137,6.0
Autoimmune_disorder,0.891978444064,0.551732311652,3.0
Acquired_haemophilia,0.891978444064,0.541578382144,3.0
Evans_syndrome,0.891978444064,0.547939705299,3.0
Autoimmune_thrombocytopenia,0.891978444064,0.545385501021,3.0
Meningitis_bacterial,0.88971932778,0.507236912122,3.0
Leukoplakia_oral,0.886538461538,0.774082334016,5.0
Acute_leukaemia,0.883335119554,0.855050244902,16.0
Renal_tubular_acidosis,0.882863234008,0.885953019541,8.0
Cryptococcosis,0.882517816579,0.908158092285,6.0
Vein_discolouration,0.880407124682,0.977099236641,4.0
Pseudolymphoma,0.877163973991,0.83813353146,4.0
Presyncope,0.876736568103,0.627511625866,4.0
Burkitt's_lymphoma,0.875959663066,0.810849454437,5.0
Ejection_fraction,0.873235861033,0.763876380236,12.0
Gastritis_haemorrhagic,0.86979121315,0.643163633549,4.0
Blood_uric_acid_increased,0.867916796263,0.792054569712,18.0
Retinopathy_of_prematurity,0.867605868865,0.249992743738,3.0
Hand_and_foot_syndrome_secondary_to_sickle_cell_anaemia,0.866293236989,0.746207430716,7.0
Lymphocyte_count_decreased,0.865285074352,0.755938041196,3.0
Normochromic_normocytic_anaemia,0.864983740556,0.845293112087,8.0
Hypochloraemia,0.864907877672,0.761766511232,11.0
Schizoaffective_disorder,0.864768925212,0.894854537243,4.0
Spinal_cord_disorder,0.862404032458,0.717669682269,4.0
Clonic_convulsion,0.860460355064,0.669324529847,4.0
Nuchal_rigidity,0.858645455473,0.878455681327,4.0
Acute_febrile_neutrophilic_dermatosis,0.856692406692,0.566056077888,8.0
Neutrophilic_dermatosis,0.856692406692,0.559165217562,8.0
Cancer_in_remission,0.856647630792,0.829556253701,10.0
Regressive_behaviour,0.856234096692,0.648218829517,5.0
Endometritis,0.855872933156,0.541917088027,5.0
Albright's_disease,0.855704389555,0.550680153639,4.0
Scleral_haemorrhage,0.855285945104,0.500116100194,3.0
Secondary_adrenocortical_insufficiency,0.855057767127,0.806626741684,12.0
Crying,0.854831843338,0.742656449553,8.0
Head_and_neck_cancer,0.854007633588,0.848282442748,4.0
Light_anaesthesia,0.853053435115,0.482824427481,3.0
Pustular_psoriasis,0.852812162295,0.711575302093,10.0
Vascular_headache,0.851019924022,0.812333655055,7.0
Renal_cyst,0.850350979819,0.592665984206,5.0
Onychomycosis,0.850248327291,0.841147905798,7.0
Tumour_pain,0.848464976913,0.432960015719,6.0
Mental_retardation,0.847328244275,0.385496183206,3.0
Graft_loss,0.846263158763,0.75602044352,12.0
Sensory_loss,0.845896743458,0.965732535203,6.0
