ADR name,Keras Mean AUC,Tensorflow Mean AUC,Scikit-Learn Mean AUC,Positive Count
Febrile_neutropenia,0.747023321074,0.722483456009,0.727503609968,70.0
Extravasation,0.699512280077,0.713750812216,0.687772951342,70.0
Menstruation_irregular,0.695061806869,0.692479691613,0.618422769609,62.0
Neoplasm,0.668853224009,0.641408675802,0.635227871033,127.0
Transaminases_increased,0.668215878024,0.55219359722,0.567029650035,52.0
Breast_enlargement,0.653059508729,0.692286499982,0.671989946014,53.0
Hirsutism,0.652785014028,0.692895989871,0.670192586253,79.0
Stupor,0.651196036692,0.665936402978,0.628631738027,59.0
Fluid_retention,0.650722883161,0.676872531577,0.671443850006,66.0
Haemorrhoids,0.650392770686,0.636471699279,0.614298001288,53.0
Osteoporosis,0.645885694022,0.657547646156,0.628782005711,80.0
Speech_disorder,0.633988576797,0.651748958307,0.629455178228,81.0
Bone_marrow_failure,0.63257654819,0.647548061947,0.639851499193,97.0
Hypernatraemia,0.629073010085,0.645615358585,0.632610691927,53.0
Aphasia,0.627337677423,0.610851663534,0.544735932417,50.0
Necrosis,0.626573660319,0.600112436699,0.564244651184,190.0
Interstitial_lung_disease,0.623196999046,0.595717012498,0.624415276756,85.0
Delusion,0.618751868252,0.611299330374,0.54248752938,56.0
Herpes_zoster,0.61654140145,0.619100787892,0.617968303246,78.0
Sepsis,0.613077371379,0.627487379292,0.660267212548,117.0
Chest_discomfort,0.613054663024,0.630732594122,0.605535876411,64.0
Oesophagitis,0.612817991134,0.617156025848,0.631840966342,153.0
Completed_suicide,0.609679286141,0.612464531063,0.571253360215,63.0
Acne,0.60958308205,0.611301434053,0.588934801027,162.0
Herpes_virus_infection,0.607750209466,0.625518675103,0.592083655657,134.0
Deep_vein_thrombosis,0.607277649123,0.609761917579,0.598663929795,93.0
Myocardial_ischaemia,0.606077502363,0.566290088223,0.534731443824,72.0
Thrombophlebitis,0.603748631265,0.576014549959,0.568084258617,156.0
Mania,0.60244960412,0.611407123727,0.574746688709,50.0
Hypertrophy,0.601979153526,0.630461793,0.605853309714,144.0
